station,station_name,day,doy,precip,precipmm,precip_estimated,Year,network
IA4228,JEFFERSON,2016-08-29,242,0.06,1.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-30,243,0.44,11.2,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-31,244,0.03,0.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-01,245,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-02,246,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-03,247,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-04,248,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-05,249,0.06,1.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-06,250,0.03,0.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-07,251,0.35,8.9,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-08,252,0.55,14.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-09,253,0.06,1.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-10,254,1.1,27.9,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-11,255,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-12,256,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-13,257,0.38,9.7,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-14,258,0.13,3.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-15,259,0.08,2.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-16,260,2.37,60.2,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-17,261,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-18,262,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-19,263,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-20,264,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-21,265,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-22,266,0.22,5.6,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-23,267,0.5,12.7,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-24,268,0.26,6.6,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-25,269,1.1,27.9,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-26,270,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-27,271,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-28,272,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-29,273,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-09-30,274,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-01,275,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-02,276,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-03,277,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-04,278,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-05,279,0.85,21.6,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-06,280,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-07,281,0.45,11.4,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-08,282,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-09,283,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-10,284,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-11,285,0.03,0.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-12,286,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-13,287,0.04,1.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-14,288,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-15,289,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-16,290,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-17,291,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-18,292,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-19,293,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-20,294,0.0001,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-21,295,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-22,296,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-23,297,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-24,298,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-25,299,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-26,300,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-27,301,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-10-28,302,0.0,0.0,True,2016,NWS_COOP
